,,1 meter,2 meter,3 meter,4 meter,5 meter
ARG,Argentina,0.33,0.52,0.74,0.93,1.13
BHS,Bahamas,11.57,19.05,31,46.84,61.89
BLZ,Belize,1.9,3.37,4.89,6.26,7.64
BRA,Brazil,0.14,0.24,0.41,0.52,0.6
CHL,Chile,1.01,1.29,1.56,1.79,1.79
COL,Colombia,0.21,0.32,0.47,0.64,0.8
CRI,Costa Rica,0.36,0.51,0.73,1.07,1.53
CUB,Cuba,1.59,2.89,4.82,7.34,10.05
DOM,Dominican Republic,0.46,0.75,1.18,1.7,2.27
ECU,Ecuador,0.37,0.56,0.82,1.15,1.52
SLV,El Salvador,0.35,0.46,0.69,1.09,1.7
GUF,French Guiana,0.32,0.45,0.62,0.9,1.22
GTM,Guatemala,0.03,0.07,0.14,0.25,0.4
GUY,Guyana,0.46,0.92,1.51,2.1,2.58
HTI,Haiti,0.57,0.84,1.28,1.83,2.41
HND,Honduras,0.34,0.7,1.33,2.09,2.85
JAM,Jamaica,1.33,1.86,2.58,3.41,4.18
MEX,Mexico,1.02,1.45,1.92,2.4,2.87
SUR,Suriname,0.95,1.59,2.31,3.07,3.88
NIC,Nicaragua,0.67,1.25,2.08,3.01,3.89
PER,Peru,0.17,0.21,0.25,0.29,0.33
PAN,Panama,0.38,0.62,1,1.47,1.99
PRI,Puerto Rico,1.64,2.6,3.68,4.81,5.89
URY,Uruguay,0.84,1.29,1.7,2.09,2.48
VEN,Venezuela,0.43,0.75,1.21,1.69,2.11
DZA,Algeria,0.37,0.38,0.39,0.4,0.42
EGY,Egypt,0.67,0.92,1.16,1.38,1.58
IRN,Iran,0.2,0.34,0.52,0.71,0.89
KWT,Kuwait,0.83,1.37,1.93,2.5,2.95
LBY,Libya,0.69,0.74,0.79,0.85,0.9
MAR,Morocco,0.25,0.29,0.34,0.38,0.43
OMN,Oman,0.26,0.42,0.59,0.74,0.87
QAT,Qatar,2.7,4.97,7.8,10.64,13.25
SAU,Saudi Arabia,0.15,0.22,0.29,0.36,0.43
ARE,United Arab Emirates,0.95,1.49,2.21,3.16,4.18
TUN,Tunisia,1.08,1.37,1.63,1.86,2.08
ESH,Western Sahara,0.28,0.36,0.44,0.51,0.57
YEM,Yemen,0.15,0.2,0.28,0.35,0.43
AGO,Angola,0.02,0.03,0.06,0.1,0.14
BEN,Benin,0.53,0.76,0.96,1.13,1.29
COG,"Congo, Rep.",0.01,0.02,0.02,0.03,0.05
COD,"Congo, Dem. Rep.",0,0.01,0.02,0.04,0.05
CMR,Cameroon,0.02,0.03,0.04,0.06,0.09
GNQ,Equatorial Guinea,0.1,0.16,0.27,0.4,0.55
ETH,Ethiopia,0.82,0.84,0.87,0.9,0.93
GMB,"Gambia, The",1.33,3.48,7.72,12,15.12
GAB,Gabon,0.19,0.25,0.35,0.52,0.73
GHA,Ghana,0.4,0.53,0.65,0.76,0.87
GIN,Guinea,0.2,0.36,0.58,0.81,1.05
CIV,Ivory Coast,0.2,0.24,0.29,0.36,0.43
KEN,Kenya,0.04,0.09,0.14,0.19,0.24
LBR,Liberia,0.1,0.15,0.23,0.33,0.45
MDG,Madagascar,0.2,0.33,0.5,0.72,1
MRT,Mauritania,0.69,0.85,1,1.13,1.26
MOZ,Mozambique,0.14,0.31,0.67,1.17,1.65
NGA,Nigeria,0.07,0.14,0.28,0.47,0.69
GNB,Guinea-Bissau,0.77,1.27,2.45,4.83,8.09
ZAF,South Africa,0.02,0.02,0.05,0.07,0.09
SEN,Senegal,0.84,1.55,2.59,3.58,4.38
SLE,Sierra Leone,0.35,0.79,1.59,2.6,3.54
SOM,Somalia,0.09,0.13,0.19,0.26,0.34
SDN,Sudan,0.02,0.03,0.04,0.06,0.07
TGO,Togo,0.19,0.27,0.36,0.47,0.58
STP,Sao Tome and Principe,0.69,0.89,0.99,1.19,1.39
TZA,"Tanzania, United Republic of",0.02,0.03,0.04,0.06,0.09
NAM,Namibia,0.07,0.11,0.15,0.19,0.22
DJI,Djibouti,1.47,1.58,1.75,1.95,2.2
MMR,Myanmar (Burma),0.72,1.1,1.79,2.89,4.07
BRN,Brunei,0.29,0.36,0.49,0.88,1.68
KHM,Cambodia,0.58,1.05,1.85,2.91,4.21
CHN,China,0.34,0.54,0.76,1.02,1.27
IDN,Indonesia,0.73,1.17,1.85,2.82,4.07
PRK,North Korea,0.21,0.39,0.71,1.22,2.48
KOR,South Korea,0.54,0.9,1.36,1.95,2.66
MYS,Malaysia,0.23,0.4,0.76,1.3,2.01
PNG,Papua New Guinea,0.14,0.2,0.29,0.44,0.67
PHL,Philippines,0.59,0.96,1.53,2.27,3.07
THA,Thailand,0.31,0.72,1.48,2.52,3.6
TWN,Taiwan China,1.58,2.4,3.32,4.28,5.2
VNM,Vietnam,5.17,8.55,11.83,14.33,16.11
BGD,Bangladesh,1.51,2.54,4.67,8.19,12.92
LKA,Sri Lanka,0.47,0.87,1.58,2.53,3.56
IND,India,0.24,0.42,0.66,0.95,1.23
PAK,Pakistan,0.39,0.72,1.14,1.49,1.8
