,,1 meter,2 meter,3 meter,4 meter,5 meter
ARG,Argentina,0.54,1.15,1.79,2.55,3.43
BHS,"Bahamas, The",4.56,6.78,10.55,18,29.52
BLZ,Belize,2.45,6.83,10.2,14.9,18.89
BRA,Brazil,0.6,1,1.58,2.33,3.11
CHL,Chile,0.26,0.32,0.39,0.47,0.47
COL,Colombia,0.34,0.6,0.92,1.24,1.55
CRI,Costa Rica,0.13,0.19,0.36,0.58,1.09
CUB,Cuba,0.69,1.1,1.62,2.63,3.81
DOM,Dominican Republic,0.33,0.73,1.09,1.6,2.26
ECU,Ecuador,1.09,1.82,2.59,3.82,5.22
SLV,El Salvador,0.16,0.24,0.38,0.58,0.9
GUF,French Guiana,5.42,6.09,7.15,10.16,14.73
GTM,Guatemala,0.03,0.06,0.11,0.19,0.31
GUY,Guyana,6.3,14.85,25.69,35.2,42
HTI,Haiti,0.15,0.36,0.63,0.98,1.42
HND,Honduras,0.11,0.27,0.42,0.66,0.98
JAM,Jamaica,0.94,1.42,2.14,3.15,4.09
MEX,Mexico,0.6,0.9,1.33,1.77,2.25
SUR,Suriname,7,18.1,30.7,44.39,55.77
NIC,Nicaragua,0.12,0.26,0.43,0.74,0.96
PER,Peru,0.15,0.22,0.38,0.49,0.64
PAN,Panama,0.35,0.75,1.42,2.33,3.23
PRI,Puerto Rico,2.65,4.12,5.7,7.23,8.52
URY,Uruguay,2.48,3.41,4.2,5.21,6.02
VEN,Venezuela,0.97,1.4,1.88,2.47,3.09
DZA,Algeria,0.57,0.77,0.96,1.23,1.48
EGY,Egypt,9.28,12.02,14.89,17.7,20.84
IRN,Iran,0.34,0.58,0.81,1.03,1.23
KWT,Kuwait,0.6,0.86,1.18,1.44,2.08
LBY,Libya,2.96,3.82,4.73,5.5,6.33
MAR,Morocco,1.29,1.56,1.86,2.24,2.6
OMN,Oman,1.07,1.66,2.46,3.37,4.39
QAT,Qatar,1.6,2.2,4.44,7.36,9.8
SAU,Saudi Arabia,1.98,2.96,4.13,5.42,6.63
ARE,United Arab Emirates,4.59,6.3,8.1,9.8,11.75
TUN,Tunisia,4.89,5.99,7.01,8.17,9.51
ESH,Western Sahara,0.15,0.21,0.4,0.5,0.64
YEM,Yemen,0.61,0.76,0.91,1.11,1.24
AGO,Angola,0.19,0.29,0.51,0.81,1
BEN,Benin,3.92,5.48,6.96,9.74,12.22
COG,"Congo, Rep.",0.09,0.1,0.33,0.43,0.72
COD,"Congo, Dem. Rep.",0.03,0.04,0.06,0.06,0.07
CMR,Cameroon,0.02,0.18,0.31,0.5,0.65
GNQ,Equatorial Guinea,0.1,0.31,0.47,0.75,0.92
ETH,Ethiopia,0.37,0.38,0.38,0.39,0.4
GMB,"Gambia, The",3.51,8.31,13.97,18.74,22.37
GAB,Gabon,0.5,0.56,1.6,3.18,4.65
GHA,Ghana,0.78,1.16,1.65,2.1,2.61
GIN,Guinea,0.65,1.79,3.45,4.49,5.25
CIV,Ivory Coast,1.36,1.66,1.95,2.48,3.23
KEN,Kenya,0.05,0.07,0.12,0.15,0.21
LBR,Liberia,1.6,3.06,5.44,9.93,12.38
MDG,Madagascar,0.53,0.88,1.15,1.65,2.07
MRT,Mauritania,7.95,12.39,15.99,18.55,20.63
MOZ,Mozambique,0.39,0.87,2.02,3.78,5.36
NGA,Nigeria,0.4,0.85,0.15,2.22,3.08
GNB,Guinea-Bissau,0.85,2.17,4.46,9.16,13.46
ZAF,South Africa,0.09,0.09,0.14,0.16,0.23
SEN,Senegal,2.19,4.16,7.03,9.71,11.89
SLE,Sierra Leone,0.58,1.21,2.06,2.93,3.84
SOM,Somalia,0.45,0.61,1.03,1.47,2.02
SDN,Sudan,0.09,0.16,0.24,0.42,0.6
TGO,Togo,0.9,1.19,2.09,3.2,4.11
STP,Sao Tome and Principe,0.13,0.13,0.1,1.01,1.05
TZA,"Tanzania, United Republic of",0.12,0.15,0.27,0.42,0.54
NAM,Namibia,0.21,0.23,0.61,1.67,2.27
DJI,Djibouti,2.74,5.4,8.13,13.68,14.39
MMR,Myanmar (Burma),1.24,2.27,4.63,8.3,12.27
BRN,Brunei,0.48,0.5,0.71,1.31,3.34
KHM,Cambodia,1,2.12,3.97,6.45,9.54
CHN,China,1.78,2.74,3.98,5.43,6.92
IDN,Indonesia,1.31,2.41,3.94,5.87,8.17
PRK,North Korea,0.39,0.74,1.54,2.7,4.27
KOR,South Korea,0.49,0.76,1.26,1.9,2.73
MYS,Malaysia,0.44,1.12,2.43,4.2,6.56
PNG,Papua New Guinea,0.1,0.15,0.21,0.29,0.52
PHL,Philippines,1.06,1.9,3.04,6.37,8.25
THA,Thailand,1.09,2.41,4.9,8.43,12.44
TWN,Taiwan China,3,4.41,6.09,8.04,9.83
VNM,Vietnam,10.8,17.96,25.6,32.49,38.18
BGD,Bangladesh,1.11,2,3.93,7.41,12.17
LKA,Sri Lanka,0.67,1.2,2.27,3.59,5.02
IND,India,0.44,0.74,1.22,1.2,2.44
PAK,Pakistan,0.21,0.36,0.53,0.77,0.99
